Brand,Post_ID,Post_Date,Post_Date(yyyy-mm-dd),Post_Time,Day_of_Week,Post_Type,Caption_Text,Caption_Length,Num_Hashtags,Hashtag_List,Likes,Comments,Follower_Count,Engagement_Rate,Content_Category
Greggs,Greggs_001,17/02/2026,2026-02-17,17:45,Tuesday,Video,is ‘all of it?’ an option? – asking for a friend x,50,0,,512,10,232000,0.23,Humour
Greggs,Greggs_002,16/02/2026,2026-02-16,12:00,Monday,Video,"watch out for Pink Jammie, she’s a savage?? who should challenge the winner? ?? ",78,0,,443,19,232000,0.20,Humour
Greggs,Greggs_003,14/02/2026,2026-02-14,12:00,Saturday,Image,Out – commitment rings In – Greggs couples tattoos x ,52,0,,2430,52,232000,1.07,Lifestyle
Greggs,Greggs_004,13/02/2026,2026-02-13,12:00,Friday,Image,roses for Valentine’s Day? BORING ??... get them a Greggs Iced Matcha Latte instead x,84,0,,1483,21,232000,0.65,Product
Greggs,Greggs_005,13/02/2026,2026-02-13,11:45,Friday,Video,"Refreshed. Calm. In our pilates era. What a way to stretch out the celebrations of our new range of Iced Matcha Lattes, available now x",135,0,,1560,92,232000,0.71,Lifestyle
Greggs,Greggs_006,11/02/2026,2026-02-11,12:00,Wednesday,Image,"who knew that happiness also came in vanilla and strawberry? X our brand new Iced Matcha Latte, Strawberry Iced Matcha Latte, and Vanilla Iced Matcha Latte are available now ?? ",175,0,,481,16,232000,0.21,Lifestyle
Greggs,Greggs_007,09/02/2026,2026-02-09,12:00,Monday,Video,Love an emotional reunion tbh. The Lemon Meringue Muffin and Vegan Lattice (Steak Free) are back ??,98,0,,945,42,232000,0.43,Humour
Greggs,Greggs_008,07/02/2026,2026-02-07,12:00,Saturday,Image,"Trust us, they don’t want flowers for Valentines Day, they want the £25 set menu at The Golden Flake Tavern, only at Fenwick Newcastle ?? Booking link in bio ???? ",160,0,,1151,18,232000,0.50,Promo
Greggs,Greggs_009,06/02/2026,2026-02-06,12:00,Friday,Video,"First come, first served ?? All Matcha and Move spaces have now all been snapped up, but dw you can still grab a delicious sip of Matcha in Greggs now ??Matcha at Greggs? That’s a stretch ?? to celebrate our new Iced Matcha Latte range, why not try our pop up Pilates class in the heart of London complete with a gorgeous matcha bar, our fresh and famous Sausage Rolls and your very own free merch bundle. Book your Matcha & Move spot now. spaces very limited so move both quickly AND mindfully ????????????London?? 13th and 14th Feb??Link in bio ",539,0,,338,35,232000,0.16,Product
Greggs,Greggs_010,05/02/2026,2026-02-05,12:00,Thursday,Video,"We’re bringing Matcha to the masses. See you on your next Greggs, erm, mindfulness run x",88,0,,2433,99,232000,1.09,Product
